PLAYER,PLAYER,2010/11,2010/11(*)
1,Kobe Bryant,"$24,806,250","$34,723,970"
2,Rashard Lewis,"$19,573,711","$27,399,423"
3,Kevin Garnett,"$18,800,000","$26,316,377"
4,Tim Duncan,"$18,700,000","$26,176,396"
5,Michael Redd,"$18,300,000","$25,616,473"
6,Andrei Kirilenko,"$17,823,000","$24,948,765"
6,Pau Gasol,"$17,823,000","$24,948,765"
8,Gilbert Arenas,"$17,730,694","$24,819,555"
9,Yao Ming,"$17,686,100","$24,757,132"
10,Zach Randolph,"$17,666,666","$24,729,928"
11,Vince Carter,"$17,300,000","$24,216,666"
12,Dirk Nowitzki,"$17,278,618","$24,186,735"
13,Carmelo Anthony,"$17,149,243","$24,005,635"
14,Dwight Howard,"$16,647,180","$23,302,844"
15,Kenyon Martin,"$16,545,454","$23,160,447"
16,Amare Stoudemire,"$16,486,611","$23,078,078"
17,Joe Johnson,"$16,324,500","$22,851,154"
18,Elton Brand,"$15,959,099","$22,339,663"
19,Predrag Stojakovic,"$15,532,320","$21,742,254"
20,Chris Paul,"$14,940,153","$20,913,335"
21,Deron Williams,"$14,940,152","$20,913,333"
22,Chris Bosh,"$14,500,000","$20,297,205"
22,LeBron James,"$14,500,000","$20,297,205"
24,Jason Richardson,"$14,444,444","$20,219,438"
25,Carlos Boozer,"$14,400,000","$20,157,225"
26,Dwyane Wade,"$14,200,000","$19,877,263"
27,Paul Pierce,"$13,876,321","$19,424,175"
28,Andrew Bynum,"$13,700,000","$19,177,360"
29,Rudy Gay,"$13,603,750","$19,042,628"
30,Brandon Roy,"$13,520,500","$18,926,094"
31,Tony Parker,"$13,500,000","$18,897,398"
32,Samuel Dalembert,"$13,428,129","$18,796,793"
33,Antawn Jamison,"$13,358,905","$18,699,892"
34,Nick Collison,"$13,250,000","$18,547,446"
35,Chauncey Billups,"$13,150,000","$18,407,466"
36,Al Jefferson,"$13,000,000","$18,197,495"
36,Baron Davis,"$13,000,000","$18,197,495"
38,Tyson Chandler,"$12,600,000","$17,637,572"
39,Richard Hamilton,"$12,500,000","$17,497,591"
40,Andre Iguodala,"$12,345,250","$17,280,971"
41,Troy Murphy,"$11,968,253","$16,753,248"
42,Manu Ginobili,"$11,854,584","$16,594,133"
43,Chris Kaman,"$11,800,000","$16,517,726"
44,Marcus Camby,"$11,749,832","$16,447,500"
45,Josh Smith,"$11,600,000","$16,237,764"
46,Eddy Curry,"$11,530,592","$16,140,606"
47,Emeka Okafor,"$11,495,000","$16,090,785"
48,Nenê,"$11,360,000","$15,901,811"
49,Luol Deng,"$11,345,000","$15,880,813"
50,LaMarcus Aldridge,"$11,244,000","$15,739,433"
51,Tayshaun Prince,"$11,148,760","$15,606,115"
52,Kevin Martin,"$11,100,005","$15,537,868"
53,Andrew Bogut,"$11,000,000","$15,397,880"
53,Monta Ellis,"$11,000,000","$15,397,880"
55,Danny Granger,"$10,973,202","$15,360,368"
56,David Lee,"$10,800,000","$15,117,918"
56,Ben Gordon,"$10,800,000","$15,117,918"
56,Jamal Crawford,"$10,800,000","$15,117,918"
59,Jason Terry,"$10,650,000","$14,907,947"
60,Mike Dunleavy,"$10,561,984","$14,784,742"
61,Caron Butler,"$10,561,960","$14,784,708"
62,Gerald Wallace,"$10,500,000","$14,697,976"
63,Steve Nash,"$10,310,938","$14,433,326"
64,Hidayet Turkoglu,"$10,215,850","$14,300,221"
65,Ray Allen,"$10,000,000","$13,998,073"
66,Mehmet Okur,"$9,945,000","$13,921,083"
67,Corey Maggette,"$9,600,000","$13,438,150"
68,Maurice Williams,"$9,300,000","$13,018,207"
69,Rajon Rondo,"$9,090,911","$12,725,523"
70,Jose Calderon,"$9,000,000","$12,598,265"
70,Andris Biedrins,"$9,000,000","$12,598,265"
70,Boris Diaw,"$9,000,000","$12,598,265"
70,Kirk Hinrich,"$9,000,000","$12,598,265"
74,Devin Harris,"$8,981,000","$12,571,669"
75,Jason Kidd,"$8,610,500","$12,053,040"
76,Andrea Bargnani,"$8,500,000","$11,898,362"
76,TJ Ford,"$8,500,000","$11,898,362"
78,Stephen Jackson,"$8,453,250","$11,832,921"
79,Richard Jefferson,"$8,400,000","$11,758,381"
80,David West,"$8,287,500","$11,600,903"
81,Lamar Odom,"$8,200,000","$11,478,419"
82,John Salmons,"$8,000,000","$11,198,458"
83,Jameer Nelson,"$7,800,000","$10,918,497"
84,Luis Scola,"$7,775,378","$10,884,030"
85,Marko Jaric,"$7,625,000","$10,673,530"
86,Paul Millsap,"$7,600,000","$10,638,535"
87,Raymond Felton,"$7,500,000","$10,498,554"
88,Joel Przybilla,"$7,405,300","$10,365,993"
89,Shane Battier,"$7,354,500","$10,294,882"
90,Shawn Marion,"$7,305,500","$10,226,292"
91,Anderson Varejao,"$7,281,818","$10,193,142"
92,Andre Miller,"$7,269,264","$10,175,568"
93,JJ Redick,"$7,250,000","$10,148,602"
94,Dan Gadzuric,"$7,248,325","$10,146,258"
95,James Posey,"$7,148,800","$10,006,942"
96,Leandro Barbosa,"$7,100,000","$9,938,631"
97,Charlie Villanueva,"$7,020,000","$9,826,647"
98,Travis Outlaw,"$7,000,000","$9,798,651"
99,Brendan Haywood,"$6,900,000","$9,658,670"
100,Nazr Mohammed,"$6,883,800","$9,635,993"
100,Jared Jeffries,"$6,883,800","$9,635,993"
100,Vladimir Radmanovic,"$6,883,800","$9,635,993"
103,Andres Nocioni,"$6,850,000","$9,588,680"
104,Greg Oden,"$6,760,524","$9,463,430"
105,JR Smith,"$6,757,851","$9,459,689"
106,Marvin Williams,"$6,712,500","$9,396,206"
107,Morris Peterson,"$6,665,000","$9,329,715"
108,Jeff Foster,"$6,655,000","$9,315,717"
109,Jason Kapono,"$6,641,440","$9,296,736"
110,Tyrus Thomas,"$6,611,570","$9,254,924"
111,Josh Childress,"$6,500,000","$9,098,747"
112,Beno Udrih,"$6,478,600","$9,068,791"
112,DeSagana Diop,"$6,478,600","$9,068,791"
114,Marcin Gortat,"$6,322,320","$8,850,029"
114,Trevor Ariza,"$6,322,320","$8,850,029"
114,Metta World Peace,"$6,322,320","$8,850,029"
114,Rasheed Wallace,"$6,322,320","$8,850,029"
118,Kevin Durant,"$6,053,663","$8,473,961"
119,Andray Blatche,"$5,900,000","$8,258,863"
120,Wesley Matthews,"$5,765,000","$8,069,889"
120,Al Harrington,"$5,765,000","$8,069,889"
120,Jermaine O'Neal,"$5,765,000","$8,069,889"
123,Drew Gooden,"$5,760,000","$8,062,890"
124,Kyle Lowry,"$5,750,000","$8,048,892"
125,Mike Bibby,"$5,564,767","$7,789,601"
126,Derrick Rose,"$5,546,160","$7,763,555"
127,Nenad Krstic,"$5,543,116","$7,759,294"
128,Francisco Garcia,"$5,500,000","$7,698,940"
128,Jamaal Tinsley,"$5,500,000","$7,698,940"
130,Sasha Vujacic,"$5,475,113","$7,664,103"
131,Al Horford,"$5,444,857","$7,621,750"
132,Blake Griffin,"$5,357,280","$7,499,159"
133,Mickael Pietrus,"$5,300,000","$7,418,978"
134,Luke Walton,"$5,260,000","$7,362,986"
135,Channing Frye,"$5,200,000","$7,278,998"
136,John Wall,"$5,144,280","$7,201,000"
137,Reggie Evans,"$5,080,000","$7,111,021"
138,Amir Johnson,"$5,000,000","$6,999,036"
138,Louis Williams,"$5,000,000","$6,999,036"
138,Mike Miller,"$5,000,000","$6,999,036"
138,Jason Maxiell,"$5,000,000","$6,999,036"
138,Kyle Korver,"$5,000,000","$6,999,036"
143,Linas Kleiza,"$4,995,000","$6,992,037"
144,Michael Beasley,"$4,962,240","$6,946,179"
145,Mike Conley,"$4,913,007","$6,877,263"
146,Antonio McDyess,"$4,860,000","$6,803,063"
147,Marcus Banks,"$4,847,586","$6,785,686"
148,Darius Songaila,"$4,818,000","$6,744,271"
149,Martell Webster,"$4,800,000","$6,719,075"
150,Hasheem Thabeet,"$4,793,280","$6,709,668"
151,Ronnie Brewer,"$4,790,000","$6,705,077"
152,Kendrick Perkins,"$4,640,208","$6,495,397"
153,Evan Turner,"$4,602,720","$6,442,921"
154,Jarrett Jack,"$4,600,000","$6,439,113"
155,Chris Andersen,"$4,533,300","$6,345,746"
156,OJ Mayo,"$4,456,200","$6,237,821"
157,Jeff Green,"$4,455,988","$6,237,524"
158,Charlie Bell,"$4,447,792","$6,226,051"
159,Brad Miller,"$4,400,000","$6,159,152"
160,Darko Milicic,"$4,325,000","$6,054,166"
161,James Harden,"$4,304,520","$6,025,498"
162,Matt Carroll,"$4,300,000","$6,019,171"
163,Zaza Pachulia,"$4,251,250","$5,950,930"
164,Hakim Warrick,"$4,250,000","$5,949,181"
164,Randy Foye,"$4,250,000","$5,949,181"
166,Nate Robinson,"$4,200,000","$5,879,190"
167,DeShawn Stevenson,"$4,151,786","$5,811,700"
168,Derrick Favors,"$4,133,280","$5,785,795"
169,Yi Jianlian,"$4,050,499","$5,669,918"
170,Russell Westbrook,"$4,017,720","$5,624,033"
171,Daniel Gibson,"$4,015,334","$5,620,693"
172,Brandon Bass,"$4,000,000","$5,599,229"
172,Ronny Turiaf,"$4,000,000","$5,599,229"
172,Luke Ridnour,"$4,000,000","$5,599,229"
172,Nikola Pekovic,"$4,000,000","$5,599,229"
172,Steve Blake,"$4,000,000","$5,599,229"
172,Ryan Gomes,"$4,000,000","$5,599,229"
172,Anthony Morrow,"$4,000,000","$5,599,229"
179,Willie Green,"$3,976,000","$5,565,633"
180,Ramon Sessions,"$3,964,320","$5,549,284"
181,Tyreke Evans,"$3,880,920","$5,432,540"
182,Jordan Farmar,"$3,750,000","$5,249,277"
183,Wesley Johnson,"$3,726,600","$5,216,521"
184,Corey Brewer,"$3,703,472","$5,184,147"
185,CJ Miles,"$3,700,000","$5,179,287"
185,Derek Fisher,"$3,700,000","$5,179,287"
187,Kevin Love,"$3,638,280","$5,092,890"
188,Timofey Mozgov,"$3,567,096","$4,993,247"
189,Chris Duhon,"$3,500,000","$4,899,325"
189,Carlos Delfino,"$3,500,000","$4,899,325"
189,Udonis Haslem,"$3,500,000","$4,899,325"
189,Dorell Wright,"$3,500,000","$4,899,325"
189,Shaun Livingston,"$3,500,000","$4,899,325"
194,Marc Gasol,"$3,480,000","$4,871,329"
195,Tiago Splitter,"$3,400,000","$4,759,344"
196,Brandan Wright,"$3,398,072","$4,756,646"
197,DeMarcus Cousins,"$3,374,640","$4,723,845"
198,Grant Hill,"$3,324,000","$4,652,959"
199,Danilo Gallinari,"$3,304,560","$4,625,747"
200,Kelenna Azubuike,"$3,300,000","$4,619,364"
200,Joel Anthony,"$3,300,000","$4,619,364"
200,Glen Davis,"$3,300,000","$4,619,364"
203,Thabo Sefolosha,"$3,250,000","$4,549,373"
203,Will Bynum,"$3,250,000","$4,549,373"
203,Johan Petro,"$3,250,000","$4,549,373"
206,Kris Humphries,"$3,200,000","$4,479,383"
207,Jonny Flynn,"$3,192,000","$4,468,184"
208,Joakim Noah,"$3,128,536","$4,379,347"
209,CJ Watson,"$3,100,000","$4,339,402"
210,Ekpe Udoh,"$3,065,040","$4,290,465"
211,Eric Gordon,"$3,016,680","$4,222,770"
212,Josh Howard,"$3,000,000","$4,199,421"
212,Raja Bell,"$3,000,000","$4,199,421"
212,Matt Bonner,"$3,000,000","$4,199,421"
212,Carl Landry,"$3,000,000","$4,199,421"
212,Tony Allen,"$3,000,000","$4,199,421"
212,Jamario Moon,"$3,000,000","$4,199,421"
212,Chris Wilcox,"$3,000,000","$4,199,421"
212,Eduardo Najera,"$3,000,000","$4,199,421"
220,Spencer Hawes,"$2,974,320","$4,163,474"
221,Stephen Curry,"$2,913,840","$4,078,814"
222,Thaddeus Young,"$2,901,241","$4,061,178"
223,Julian Wright,"$2,858,057","$4,000,729"
224,Anthony Parker,"$2,855,700","$3,997,429"
225,Al Thornton,"$2,814,196","$3,939,332"
226,Greg Monroe,"$2,798,040","$3,916,716"
227,Rodney Stuckey,"$2,767,126","$3,873,443"
228,Sebastian Telfair,"$2,700,000","$3,779,479"
229,Jordan Hill,"$2,669,520","$3,736,813"
230,Nick Young,"$2,630,503","$3,682,197"
231,Al-Farouq Aminu,"$2,563,320","$3,588,154"
232,DJ Augustin,"$2,540,400","$3,556,070"
233,Maurice Evans,"$2,500,000","$3,499,518"
233,David Andersen,"$2,500,000","$3,499,518"
233,Dahntay Jones,"$2,500,000","$3,499,518"
236,Marquis Daniels,"$2,470,000","$3,457,524"
237,DeMar DeRozan,"$2,453,880","$3,434,959"
238,Brook Lopez,"$2,413,320","$3,378,182"
239,Rasual Butler,"$2,400,000","$3,359,537"
240,Marco Belinelli,"$2,380,270","$3,331,919"
241,Gordon Hayward,"$2,356,320","$3,298,393"
242,Ryan Hollins,"$2,333,333","$3,266,216"
243,Brandon Jennings,"$2,331,120","$3,263,118"
244,Ersan Ilyasova,"$2,320,500","$3,248,252"
245,Craig Smith,"$2,300,000","$3,219,556"
246,Jerryd Bayless,"$2,292,600","$3,209,198"
247,Quentin Richardson,"$2,265,000","$3,170,563"
248,Paul George,"$2,238,360","$3,133,272"
249,Louis Amundson,"$2,225,000","$3,114,571"
250,Terrence Williams,"$2,214,480","$3,099,845"
251,Anthony Tolliver,"$2,200,000","$3,079,576"
251,Shannon Brown,"$2,200,000","$3,079,576"
253,Jason Smith,"$2,187,913","$3,062,656"
254,Jason Thompson,"$2,178,000","$3,048,780"
255,Daequan Cook,"$2,169,857","$3,037,381"
256,Jared Dudley,"$2,151,068","$3,011,080"
257,Wilson Chandler,"$2,130,482","$2,982,264"
258,Cole Aldrich,"$2,126,520","$2,976,718"
259,Gerald Henderson,"$2,103,840","$2,944,970"
260,Ben Wallace,"$2,080,000","$2,911,599"
261,Brandon Rush,"$2,069,049","$2,896,269"
262,Xavier Henry,"$2,020,200","$2,827,890"
263,Aaron Brooks,"$2,016,692","$2,822,980"
264,Keyon Dooling,"$2,000,000","$2,799,614"
265,Tyler Hansbrough,"$1,998,600","$2,797,654"
266,Chuck Hayes,"$1,972,500","$2,761,119"
267,Goran Dragic,"$1,972,000","$2,760,420"
268,Anthony Randolph,"$1,965,720","$2,751,629"
269,Arron Afflalo,"$1,959,577","$2,743,030"
270,Ed Davis,"$1,919,160","$2,686,454"
271,Earl Clark,"$1,898,760","$2,657,898"
272,Jason Williams,"$1,877,145","$2,627,640"
273,Robin Lopez,"$1,867,320","$2,613,888"
274,Patrick Patterson,"$1,823,280","$2,552,240"
275,Jose Juan Barea,"$1,815,000","$2,540,650"
276,Austin Daye,"$1,803,720","$2,524,860"
277,Marreese Speights,"$1,773,960","$2,483,202"
278,Matt Barnes,"$1,765,000","$2,470,659"
279,Larry Sanders,"$1,731,960","$2,424,410"
280,Omer Asik,"$1,721,000","$2,409,068"
281,James Johnson,"$1,713,600","$2,398,709"
282,Roy Hibbert,"$1,685,280","$2,359,067"
283,Renaldo Balkman,"$1,675,000","$2,344,677"
284,Luke Babbitt,"$1,645,440","$2,303,298"
285,Jrue Holiday,"$1,627,920","$2,278,774"
286,JaVale McGee,"$1,601,040","$2,241,147"
287,Hamed Haddadi,"$1,600,000","$2,239,691"
287,Keith Bogans,"$1,600,000","$2,239,691"
289,Kevin Seraphin,"$1,563,120","$2,188,066"
290,Ty Lawson,"$1,546,560","$2,164,885"
291,JJ Hickson,"$1,528,920","$2,140,193"
292,Solomon Jones,"$1,500,000","$2,099,710"
293,Eric Bledsoe,"$1,485,000","$2,078,713"
294,Jeff Teague,"$1,476,840","$2,067,291"
295,Alexis Ajinca,"$1,467,840","$2,054,693"
296,Avery Bradley,"$1,418,160","$1,985,150"
297,Eric Maynor,"$1,417,800","$1,984,646"
298,Ryan Anderson,"$1,409,040","$1,972,384"
