Player,Salary2023,Inflated2023
Stephen Curry ,48070014,49497298
John Wall ,47345760,48751539
Russell Westbrook ,47080179,48478072
LeBron James ,44474988,45795529
Kevin Durant ,44119845,45429841
Bradley Beal ,43279250,44564287
Kawhi Leonard ,42492492,43754169
Paul George ,42492492,43754169
Giannis Antetokounmpo ,42492492,43754169
Damian Lillard ,42492492,43754169
Klay Thompson ,40600080,41805568
Kyrie Irving ,38917057,40072573
Rudy Gobert ,38172414,39305820
Khris Middleton ,37984276,39112096
Anthony Davis ,37980720,39108435
Jimmy Butler ,37653300,38771293
Tobias Harris ,37633050,38750442
Kemba Walker ,37281261,38388207
Trae Young ,37096500,38197960
Zach LaVine ,37096500,38197960
Luka Doncic ,37096500,38197960
Ben Simmons ,35448672,36501206
Pascal Siakam ,35448672,36501206
Myles Turner ,35096500,36138577
Jrue Holiday ,34319520,35338527
Karl-Anthony Towns ,33833400,34837973
Devin Booker ,33833400,34837973
Kristaps Porzingis ,33833400,34837973
Andrew Wiggins ,33616770,34614911
Joel Embiid ,33616770,34614911
CJ McCollum ,33333333,34323058
Nikola Jokic ,33047803,34029050
James Harden ,33000000,33979828
Jamal Murray ,31650600,32590362
Brandon Ingram ,31650600,32590362
D'Angelo Russell ,31377750,32309411
Donovan Mitchell ,30913750,31831634
Michael Porter ,30913750,31831634
Shai Gilgeous-Alexander ,30913750,31831634
Deandre Ayton ,30913750,31831634
Kevin Love ,30556968,31464258
Jayson Tatum ,30351780,31252978
Bam Adebayo ,30351780,31252978
De'Aaron Fox ,30351780,31252978
Gordon Hayward ,30075000,30967980
Jaylen Brown ,29776785,30660910
Jaren Jackson Jr ,28946605,29806081
Chris Paul ,28400000,29243246
Kyle Lowry ,28333334,29174601
Jalen Brunson ,27733332,28556783
DeMar DeRozan ,27300000,28110585
Al Horford ,26500000,27286832
Draymond Green ,25806468,26572707
Julius Randle ,23760000,24465476
John Collins ,23500000,24197756
Mike Conley ,22680000,23353409
Malcolm Brogdon ,22600000,23271034
Anfernee Simons ,22321429,22984191
Nikola Vucevic ,22000000,22653219
Terry Rozier ,21486316,22124282
Fred VanVleet ,21250000,21880950
Buddy Hield ,21177750,21806555
Domantas Sabonis ,21100000,21726496
Jerami Grant ,20955000,21577191
Aaron Gordon ,20690909,21305258
Mikal Bridges ,20100000,20696804
Jarrett Allen ,20000000,20593835
Nicolas Batum ,19700319,20285256
Tim Hardaway Jr ,19602273,20184299
Eric Gordon ,19568360,20149379
Bojan Bogdanovic ,19550000,20130474
Lonzo Ball ,19534884,20114909
Spencer Dinwiddie ,19500000,20078989
Danilo Gallinari ,19479000,20057366
Caris LeVert ,18796296,19354391
Joe Harris ,18642857,19196396
Harrison Barnes ,18352273,18897184
Clint Capela ,18206896,18747491
Bogdan Bogdanovic ,18000000,18534451
Evan Fournier ,18000000,18534451
Steven Adams ,17926829,18459108
Jonathan Isaac ,17400000,17916636
OG Anunoby ,17357143,17872507
Gary Trent Jr ,17280000,17793073
Marcus Smart ,17207142,17718052
Derrick White ,17142857,17651858
Dejounte Murray ,17071120,17577991
Mitchell Robinson ,17045454,17551563
Duncan Robinson ,16902000,17403850
Norman Powell ,16758621,17256214
Collin Sexton ,16700000,17195852
Markelle Fultz ,16500000,16989914
Lauri Markkanen ,16475454,16964639
Marcus Morris ,16372093,16858209
Davis Bertans ,16000000,16475068
Jusuf Nurkic ,15625000,16088934
Malik Beasley ,15558035,16019980
Luguentz Dort ,15277778,15731402
Will Barton ,15059712,15506861
Tyus Jones ,15000000,15445376
Jonas Valanciunas ,14700000,15136469
Derrick Rose ,14520730,14951876
Kevin Huerter ,14508929,14939724
Christian Wood ,14317459,14742569
Wendell Carter ,14150000,14570138
Kentavious Caldwell-Pope ,14004703,14420527
Brook Lopez ,13906976,14319898
Patrick Beverley ,13801614,14211408
Doug McDermott ,13750000,14158261
Luke Kennard ,13745455,14153581
Zion Williamson ,13534817,13936689
Jordan Clarkson ,13340000,13736088
Gary Harris ,13000000,13385993
Kyle Kuzma ,13000000,13385993
Josh Hart ,12960000,13344805
Dorian Finney-Smith ,12939848,13324055
Kelly Olynyk ,12804878,13185077
Chris Boucher ,12690000,13066788
Kelly Oubre ,12600000,12974116
Marvin Bagley ,12500000,12871147
Robert Covington ,12307692,12673129
Josh Richardson ,12196094,12558217
Ja Morant ,12119440,12479287
Danny Green ,11710528,12058233
Devonte Graham ,11550000,11892940
Terrence Ross ,11500000,11841455
Reggie Jackson ,11457217,11797401
Dillon Brooks ,11400000,11738486
Richaun Holmes ,11215260,11548260
Dwight Powell ,11080125,11409113
Paolo Banchero ,11055120,11383366
RJ Barrett ,10900634,11224293
Bobby Portis ,10843350,11165308
DeAndre Jordan ,10733758,11052461
Anthony Edwards ,10733400,11052093
Robert Williams ,10714287,11032413
Cade Cunningham ,10552800,10866131
PJ Tucker ,10490000,10801466
Derrick Favors ,10350803,10658136
Mo Bamba ,10300000,10605825
Talen Horton-Tucker ,10260000,10564637
Jae Crowder ,10183800,10486175
Ivica Zubac ,10123457,10424040
Reggie Bullock ,10012800,10310097
Alec Burks ,10012800,10310097
Chet Holmgren ,9891240,10184928
De'Andre Hunter ,9835881,10127925
Larry Nance Jr ,9672727,9959927
James Wiseman ,9603360,9888500
Landry Shamet ,9500000,9782071
Malik Monk ,9472219,9753466
Jalen Green ,9441840,9722185
Jakob Poeltl ,9398148,9677195
Nerlens Noel ,9391069,9669906
Nicolas Claxton ,9350000,9627618
Dario Saric ,9240000,9514352
Royce O'Neale ,9200000,9473164
Monte Morris ,9125000,9395937
Mason Plumlee ,9080417,9350030
Alex Caruso ,9030000,9298116
Maxi Kleber ,9000000,9267225
Grayson Allen ,8925000,9189999
Darius Garland ,8920794,9185668
Jabari Smith ,8882640,9146381
Isaiah Hartenstein ,8854879,9117796
Kyle Anderson ,8780488,9041196
Victor Oladipo ,8750000,9009803
Daniel Theis ,8694369,8952520
LaMelo Ball ,8623920,8879979
Seth Curry ,8496653,8748933
Evan Mobley ,8478720,8730468
Gary Payton II ,8300000,8546441
Dewayne Dedmon ,8283688,8529645
De'Anthony Melton ,8250000,8494957
JaMychal Green ,8200000,8443471
TJ McConnell ,8100000,8340503
Keegan Murray ,8008440,8246224
Kevon Looney ,8000000,8237534
Thaddeus Young ,8000000,8237534
Delon Wright ,7804878,8036618
Patrick Williams ,7775400,8006265
Scottie Barnes ,7644600,7871581
Cedi Osman ,7426088,7646581
Coby White ,7413955,7634088
Zach Collins ,7350000,7568234
Jaden Ivey ,7252200,7467530
Taurean Prince ,7100000,7310811
Jae'Sean Tate ,7065217,7274995
Isaac Okoro ,7040880,7249936
Cody Martin ,7000000,7207842
Jalen Suggs ,6922320,7127855
Jaxson Hayes ,6803012,7005005
Khem Birch ,6667500,6865469
Bennedict Mathurin ,6586800,6782373
Patrick Mills ,6479000,6671373
Bruce Brown ,6479000,6671373
Lonnie Walker ,6479000,6671373
Caleb Martin ,6479000,6671373
Joe Ingles ,6479000,6671373
Onyeka Okongwu ,6395160,6585043
Josh Giddey ,6287400,6474084
Rui Hachimura ,6263188,6449153
Rudy Gay ,6184500,6368128
Jevon Carter ,6025000,6203892
Shaedon Sharpe ,6012960,6191495
Cameron Payne ,6000000,6178150
Otto Porter ,6000000,6178150
Justin Holiday ,5987975,6165767
Cam Reddish ,5954454,6131252
Cameron Johnson ,5887899,6062721
Ricky Rubio ,5853659,6027464
Killian Hayes ,5837760,6011093
PJ Washington ,5808435,5980897
Jonathan Kuminga ,5739840,5910266
Pat Connaughton ,5728393,5898479
Tyler Herro ,5722116,5892015
Romeo Langford ,5634257,5801548
Dyson Daniels ,5508600,5672160
JaVale McGee ,5461219,5623372
Goga Bitadze ,5377520,5537187
Obi Toppin ,5348280,5507079
Franz Wagner ,5258280,5414407
Kendrick Nunn ,5250000,5405881
Hamidou Diallo ,5200000,5354397
Cory Joseph ,5155500,5308575
Garrett Temple ,5155500,5308575
Torrey Craig ,5121951,5274030
Jeremy Sochan ,5063520,5213864
David Nwaba ,5022000,5171112
Nickeil Alexander-Walker ,5009633,5158377
Furkan Korkmaz ,5000000,5148458
Deni Avdija ,4916160,5062129
Davion Mitchell ,4833600,4977118
Johnny Davis ,4810320,4953146
Ty Jerome ,4728948,4869357
Ishmael Smith ,4725000,4865293
Jalen Smith ,4670160,4808825
Ziaire Williams ,4591680,4728015
Ousmane Dieng ,4569840,4705526
Moe Harkless ,4564980,4700522
Jeff Green ,4500000,4633612
Donte DiVincenzo ,4500000,4633612
Devin Vassell ,4437000,4568742
Matisse Thybulle ,4379526,4509561
Jarred Vanderbilt ,4374000,4503871
James Bouknight ,4362240,4491762
Brandon Clarke ,4343919,4472897
Jalen Williams ,4341480,4470386
Grant Williams ,4306281,4434142
Darius Bazley ,4264628,4391252
Tyrese Haliburton ,4215120,4340274
Nassir Little ,4171548,4295408
Josh Primo ,4144320,4267372
Jalen Duren ,4124280,4246737
Gorgui Dieng ,4105236,4227127
Danuel House ,4105000,4226884
Boban Marjanovic ,4101478,4223258
Justise Winslow ,4097561,4219224
Dylan Windler ,4037277,4157150
Stanley Johnson ,4022164,4141588
Kira Lewis ,4004280,4123174
George Hill ,4000000,4118767
Terence Davis ,4000000,4118767
Chris Duarte ,3936960,4053855
Alex Len ,3918600,4034950
Ochai Agbaji ,3918360,4034703
Jordan Poole ,3901399,4017238
Keldon Johnson ,3873024,3988020
Sviatoslav Mykhailiuk ,3846895,3961115
James Johnson ,3841067,3955115
Aaron Nesmith ,3804360,3917318
Moses Moody ,3740160,3851211
Mark Williams ,3722040,3832553
Cole Anthony ,3613680,3720976
Corey Kispert ,3552840,3658330
AJ Griffin ,3536160,3641154
Goran Dragic ,3523762,3628387
Mike Muscala ,3500000,3603921
Georges Niang ,3465000,3567882
Isaiah Stewart ,3433320,3535261
Chuma Okeke ,3433320,3535261
Trey Burke ,3423750,3525407
Amir Coffey ,3395062,3495867
Alperen Sengun ,3375360,3475580
Tari Eason ,3359160,3458899
Aleksej Pokusevski ,3261480,3358319
Kevin Porter ,3217631,3313168
Trey Murphy ,3206520,3301727
Simone Fontecchio ,3205128,3300293
Derrick Jones ,3200000,3295013
Andre Drummond ,3200000,3295013
Dalen Terry ,3191400,3286158
Sterling Brown ,3122602,3215317
Josh Green ,3098400,3190397
Jake LaRavia ,3047640,3138129
Tre Mann ,3046200,3136647
Kevin Knox ,3000000,3089075
Saddiq Bey ,2959080,3046940
Malaki Branham ,2925600,3012466
Joe Wieskamp ,2909261,2995641
Kai Jones ,2909040,2995414
Blake Griffin ,2905851,2992130
Robin Lopez ,2905851,2992130
Markieff Morris ,2905851,2992130
Andre Iguodala ,2905851,2992130
Serge Ibaka ,2905851,2992130
Udonis Haslem ,2905851,2992130
Wesley Matthews ,2905851,2992130
Austin Rivers ,2905851,2992130
Bismack Biyombo ,2905851,2992130
Taj Gibson ,2905851,2992130
RJ Hampton ,2898243,2984296
Andrew Nicholson ,2844429,2928885
Precious Achiuwa ,2840160,2924489
Christian Braun ,2808600,2891992
Jordan Nwora ,2800000,2883136
Jalen Johnson ,2792640,2875558
Tyrese Maxey ,2726880,2807845
Bruno Fernando ,2717391,2798075
Walker Kessler ,2696400,2776460
Keon Johnson ,2681040,2760644
Charles Bassey ,2674742,2754159
Dennis Schroeder ,2641682,2720118
TJ Warren ,2628597,2706644
Matthew Dellavedova ,2628597,2706644
Trey Lyles ,2625000,2702940
Zeke Nnaji ,2617800,2695527
David Roddy ,2588640,2665501
Isaiah Jackson ,2573760,2650179
MarJon Beauchamp ,2485200,2558990
Usman Garuba ,2471160,2544533
Raul Neto ,2463490,2536635
Frank Kaminsky ,2463490,2536635
Montrezl Harrell ,2463490,2536635
Willy Hernangomez ,2443581,2516135
Theo Maledon ,2408891,2480414
Blake Wesley ,2385480,2456309
Josh Christopher ,2372160,2442593
Isaiah Roby ,2330681,2399882
Lindy Waters III ,2316876,2385668
Immanuel Quickley ,2316240,2385013
Wendell Moore ,2306520,2375004
John Konchar ,2300000,2368291
Rodney McGruder ,2298385,2366628
Bryn Forbes ,2298385,2366628
Juan Hernangomez ,2298385,2366628
Damian Jones ,2298385,2366628
Quentin Grimes ,2277000,2344608
Saben Lee ,2266640,2333938
Andrew Nembhard ,2244111,2310742
Nikola Jovic ,2239920,2306427
Payton Pritchard ,2239200,2305685
Vlatko Cancar ,2234359,2300701
Patrick Baldwin ,2226000,2292093
TyTy Washington ,2210040,2275660
Bones Hyland ,2201520,2266887
Bol Bol ,2200000,2265321
Peyton Watson ,2193960,2259102
Marquese Chriss ,2193920,2259061
Udoka Azubuike ,2174880,2239456
Jaden McDaniels ,2161440,2225616
Jordan McLaughlin ,2160000,2224134
Malachi Flynn ,2145720,2209430
Cam Thomas ,2138160,2201645
Luke Kornet ,2133278,2196618
Dennis Smith ,2133278,2196618
Damion Lee ,2133278,2196618
Juan Toscano-Anderson ,2133278,2196618
Desmond Bane ,2130240,2193490
Jaden Springer ,2125200,2188300
Day'Ron Sharpe ,2109480,2172114
Santiago Aldama ,2094120,2156298
Tony Bradley ,2036318,2096779
Frank Ntilikina ,2036318,2096779
Garrison Mathews ,2000000,2059383
Kenrich Williams ,2000000,2059383
Jaylin Williams ,2000000,2059383
Jeremiah Robinson-Earl ,2000000,2059383
Caleb Houstan ,2000000,2059383
Shake Milton ,1997718,2057033
Aaron Holiday ,1968175,2026613
