Player,Salary2022,Inflated2022
Stephen Curry ,45780966,51411079
John Wall ,44310840,49760158
James Harden ,44310840,49760158
Russell Westbrook ,44211146,49648204
Kevin Durant ,42018900,47186357
LeBron James ,41180544,46244900
Paul George ,39344970,44183589
Kawhi Leonard ,39344900,44183510
Giannis Antetokounmpo ,39344900,44183510
Damian Lillard ,39344900,44183510
Klay Thompson ,37980720,42651564
Jimmy Butler ,36016200,40445449
Tobias Harris ,35995950,40422708
Khris Middleton ,35500000,39865767
Anthony Davis ,35361360,39710077
Rudy Gobert ,35344828,39691512
Kyrie Irving ,35328700,39673400
Kemba Walker ,34967442,39267715
Bradley Beal ,33724200,37871580
Ben Simmons ,33003936,37062738
Pascal Siakam ,33003936,37062738
Blake Griffin ,32405817,36391063
Karl-Anthony Towns ,31650600,35542970
Devin Booker ,31650600,35542970
Kristaps Porzingis ,31650600,35542970
Andrew Wiggins ,31579390,35463003
Joel Embiid ,31579390,35463003
Kevin Love ,31258256,35102376
Jrue Holiday ,31171333,35004763
Nikola Jokic ,31044906,34862788
CJ McCollum ,30864198,34659857
Chris Paul ,30800000,34587764
D'Angelo Russell ,30013500,33704540
Gordon Hayward ,29925000,33605157
Jamal Murray ,29467800,33091731
Brandon Ingram ,29467800,33091731
Jayson Tatum ,28103500,31559650
Bam Adebayo ,28103500,31559650
De'Aaron Fox ,28103500,31559650
Donovan Mitchell ,28103500,31559650
Al Horford ,27000000,30320442
Kyle Lowry ,26984128,30302618
Jaylen Brown ,26758928,30049723
DeMar DeRozan ,26000000,29197463
Draymond Green ,24026712,26981501
Nikola Vucevic ,24000000,26951504
Buddy Hield ,23073234,25910765
John Collins ,23000000,25828525
Malcolm Brogdon ,21700000,24368652
Tim Hardaway Jr ,21306816,23927114
Mike Conley ,21000000,23582566
Gary Harris ,20932143,23506364
Danilo Gallinari ,20475000,22993002
Harrison Barnes ,20284091,22778615
Jerami Grant ,20002500,22462394
Jarrett Allen ,20000000,22459587
Julius Randle ,19800000,22234991
Fred VanVleet ,19675926,22095658
Zach LaVine ,19500000,21898097
Goran Dragic ,19348907,21728422
Spencer Dinwiddie ,19314284,21689542
Bojan Bogdanovic ,18700000,20999714
Lonzo Ball ,18604651,20892639
Domantas Sabonis ,18500000,20775118
Eric Gordon ,18218818,20459356
Eric Bledsoe ,18125000,20354000
Bogdan Bogdanovic ,18000000,20213628
Myles Turner ,18000000,20213628
Terry Rozier ,17905263,20107240
Ricky Rubio ,17800000,19989032
Clint Capela ,17603448,19768308
Caris LeVert ,17500000,19652138
Jonathan Isaac ,17400000,19539840
Joe Harris ,17357143,19491713
Evan Fournier ,17142857,19251074
Steven Adams ,17073171,19172818
Markelle Fultz ,16500000,18529159
Aaron Gordon ,16409091,18427070
Gary Trent Jr ,16225000,18220340
OG Anunoby ,16071429,18047883
Davis Bertans ,16000000,17967669
Lauri Markkanen ,15690909,17620566
Derrick White ,15678571,17606711
Duncan Robinson ,15650000,17574626
Marcus Morris ,15627907,17549816
Will Barton ,15625000,17546552
Norman Powell ,15517242,17425542
Dejounte Murray ,15428880,17326313
Malik Beasley ,14491964,16274176
Patrick Beverley ,14320987,16082172
Thaddeus Young ,14190000,15935077
Jonas Valanciunas ,14000000,15721711
Marcus Smart ,13839285,15541231
Doug McDermott ,13750000,15440966
Christian Wood ,13666667,15347384
Derrick Rose ,13445120,15098592
Luke Kennard ,13347727,14989221
Taurean Prince ,13334375,14974227
Brook Lopez ,13302325,14938236
Kentavious Caldwell-Pope ,13038862,14642372
Joe Ingles ,13036364,14639567
Kyle Kuzma ,13000000,14598731
Robert Covington ,12975471,14571186
TJ Warren ,12940000,14531352
Deandre Ayton ,12632950,14186542
Terrence Ross ,12500000,14037241
Jordan Clarkson ,12420000,13947403
Dillon Brooks ,12200000,13700348
Kelly Olynyk ,12195122,13694870
Nicolas Batum ,12026998,13506070
Kelly Oubre ,12000000,13475752
Jusuf Nurkic ,12000000,13475752
Josh Hart ,12000000,13475752
Josh Richardson ,11615328,13043773
Marvin Bagley ,11312114,12703270
DeAndre Jordan ,11109327,12475544
Dwight Powell ,11080125,12442751
Devonte Graham ,11000000,12352772
Zion Williamson ,10733400,12053386
Larry Nance Jr ,10690909,12005670
Jeremy Lamb ,10500000,11791283
Reggie Jackson ,10384500,11661579
Richaun Holmes ,10384500,11661579
Al-Farouq Aminu ,10335621,11606688
Anthony Edwards ,10245480,11505462
Luka Doncic ,10174391,11425631
Cade Cunningham ,10050120,11286077
Danny Green ,10000000,11229793
Tomas Satoransky ,10000000,11229792
Tristan Thompson ,9946611,11169838
Kyle Anderson ,9937150,11159214
Montrezl Harrell ,9720900,10916370
Derrick Jones ,9720900,10916370
Serge Ibaka ,9720900,10916370
Derrick Favors ,9720900,10916370
Jae Crowder ,9720900,10916370
Ja Morant ,9603360,10784375
Reggie Bullock ,9536000,10708731
Alec Burks ,9536000,10708731
Talen Horton-Tucker ,9500000,10668303
Mason Plumlee ,9248333,10385687
Jaren Jackson Jr ,9180560,10309579
James Wiseman ,9166800,10294127
Jalen Green ,8992080,10097920
De'Anthony Melton ,8805976,9888929
Nerlens Noel ,8800000,9882218
Royce O'Neale ,8800000,9882218
Maxi Kleber ,8750000,9826069
Jakob Poeltl ,8750000,9826069
Thomas Bryant ,8666667,9732488
RJ Barrett ,8623920,9684484
Alex Caruso ,8600000,9657622
Delon Wright ,8526316,9574876
Dario Saric ,8510000,9556554
Monte Morris ,8449074,9488135
Tyus Jones ,8376286,9406396
Trae Young ,8326471,9350455
Daniel Theis ,8280351,9298663
LaMelo Ball ,8231760,9244096
Seth Curry ,8207518,9216873
JaMychal Green ,8200000,9208430
Cedi Osman ,8133334,9133566
Evan Mobley ,8075160,9068238
De'Andre Hunter ,7775400,8731613
DJ Augustin ,7622467,8559872
Mo Bamba ,7568743,8499542
Ivica Zubac ,7518518,8443140
Rajon Rondo ,7500000,8422344
TJ McConnell ,7500000,8422345
Patrick Williams ,7422000,8334752
Cory Joseph ,7310000,8208979
Scottie Barnes ,7280400,8175738
Darius Garland ,7040880,7906762
Chris Boucher ,7020000,7883315
PJ Tucker ,7000000,7860855
Zach Collins ,7000000,7860855
Wendell Carter ,6920027,7771047
Juan Hernangomez ,6803190,7639841
Isaac Okoro ,6720720,7547229
Jalen Suggs ,6592920,7403713
Cameron Payne ,6500000,7299365
Joakim Noah ,6431666,7222628
Jarrett Culver ,6395160,7181632
Khem Birch ,6350000,7130918
Collin Sexton ,6349671,7130549
Onyeka Okongwu ,6104280,6854980
Justin Holiday ,6006420,6745085
Josh Giddey ,5988000,6724400
Patrick Mills ,5890000,6614348
Dennis Schroeder ,5890000,6614348
Rudy Gay ,5890000,6614348
Kevin Knox ,5845978,6564912
Coby White ,5837760,6555683
Timofey Mozgov ,5573333,6258737
Killian Hayes ,5572680,6258004
Mikal Bridges ,5557725,6241210
Shai Gilgeous-Alexander ,5495532,6171369
Jonathan Kuminga ,5466360,6138609
Miles Bridges ,5421493,6088224
Jaxson Hayes ,5348280,6006008
Pat Connaughton ,5333334,5989223
Kris Dunn ,5317430,5971363
George Hill ,5275491,5924267
Michael Porter ,5258735,5905450
Dewayne Dedmon ,5256308,5902724
Ryan Anderson ,5214583,5855869
Hamidou Diallo ,5200000,5839492
Kevon Looney ,5178572,5815429
Troy Brown ,5170564,5806436
Obi Toppin ,5105160,5732989
Franz Wagner ,5007840,5623700
Josh Jackson ,5005350,5620904
Louis Williams ,5000000,5614896
Luol Deng ,5000000,5614896
Kendrick Nunn ,5000000,5614896
Robin Lopez ,5000000,5614896
JaVale McGee ,5000000,5614896
Danuel House ,4997424,5612002
Rui Hachimura ,4916160,5520746
Garrett Temple ,4910000,5513828
Taj Gibson ,4910000,5513828
Torrey Craig ,4878049,5477948
Bruce Brown ,4736102,5318544
Deni Avdija ,4692840,5269962
Donte DiVincenzo ,4675830,5250860
Cam Reddish ,4670160,5244493
David Nwaba ,4650000,5221854
Furkan Korkmaz ,4629630,5198978
Davion Mitchell ,4603200,5169298
Bryn Forbes ,4500000,5053407
Jeff Green ,4500000,5053407
Ishmael Smith ,4500000,5053407
Jalen Smith ,4458000,5006241
Lonnie Walker ,4447896,4994895
Cameron Johnson ,4437000,4982659
Ziaire Williams ,4373040,4910833
Bobby Portis ,4347600,4882265
Moe Harkless ,4347600,4882265
Kevin Huerter ,4253357,4776432
Devin Vassell ,4235160,4755997
Chandler Hutchison ,4224186,4743673
Willie Cauley-Stein ,4220083,4739065
PJ Washington ,4215120,4733492
James Bouknight ,4154400,4665305
Jevon Carter ,4107149,4612242
Josh Okogie ,4087904,4590631
Grayson Allen ,4054695,4553338
Jarred Vanderbilt ,4050000,4548066
Tyrese Haliburton ,4023600,4518419
Tyler Herro ,4004280,4496723
Gorgui Dieng ,4000000,4491917
Dorian Finney-Smith ,4000000,4491917
Terence Davis ,4000000,4491917
Aaron Holiday ,3980551,4470076
Josh Primo ,3946800,4432174
Jake Layman ,3940184,4424745
Anfernee Simons ,3938818,4423211
Justise Winslow ,3902439,4382358
Kira Lewis ,3822240,4292296
Romeo Langford ,3804360,4272217
Sekou Doumbouya ,3799131,4266345
Landry Shamet ,3768342,4231770
Chris Duarte ,3749400,4210498
Alex Len ,3732000,4190958
Robert Williams ,3661976,4112323
Aaron Nesmith ,3631200,4077762
Moses Moody ,3562200,4000277
Boban Marjanovic ,3500000,3930427
Mike Muscala ,3500000,3930427
Cole Anthony ,3449400,3873605
Corey Kispert ,3383640,3799757
Luka Samanic ,3355239,3767863
Michael Carter-Williams ,3300000,3705831
Georges Niang ,3300000,3705831
Isaiah Stewart ,3277080,3680093
Chuma Okeke ,3277080,3680093
Nickeil Alexander-Walker ,3261480,3662574
Alperen Sengun ,3214680,3610019
Jon Leuer ,3169348,3559112
Trey Burke ,3150000,3537384
Aleksej Pokusevski ,3113160,3496014
Facundo Campazzo ,3100000,3481236
Goga Bitadze ,3098400,3479439
Trey Murphy ,3053760,3429309
Sterling Brown ,3000000,3368938
Frank Jackson ,3000000,3368938
Josh Green ,2957520,3321233
Tre Mann ,2901240,3258032
Andrew Nicholson ,2844429,3194235
Matisse Thybulle ,2840160,3189441
Saddiq Bey ,2824320,3171653
Kai Jones ,2770560,3111281
Brandon Clarke ,2726880,3062229
Precious Achiuwa ,2711280,3044711
Marc Gasol ,2692991,3024173
Jalen Johnson ,2659680,2986765
LaMarcus Aldridge ,2641691,2966564
James Johnson ,2641691,2966564
Ed Davis ,2641691,2966564
Andre Iguodala ,2641691,2966564
Enes Kanter ,2641691,2966564
Avery Bradley ,2641691,2966564
Carmelo Anthony ,2641691,2966564
Wayne Ellington ,2641691,2966564
Trevor Ariza ,2641691,2966564
Dwight Howard ,2641691,2966564
Udonis Haslem ,2641691,2966564
Markieff Morris ,2641691,2966564
E'Twaun Moore ,2641691,2966564
Paul Millsap ,2641691,2966564
Grant Williams ,2617800,2939735
Tyrese Maxey ,2602920,2923025
Keon Johnson ,2553240,2867235
Darius Bazley ,2513040,2822092
Trey Lyles ,2500000,2807448
Zeke Nnaji ,2498760,2806055
Isaiah Jackson ,2451240,2752691
Ty Jerome ,2412840,2709569
Andre Drummond ,2401537,2696876
Austin Rivers ,2401537,2696876
Kent Bazemore ,2401537,2696876
Hassan Whiteside ,2401537,2696876
Otto Porter ,2389641,2683517
Victor Oladipo ,2389641,2683517
Tony Snell ,2389641,2683517
Solomon Hill ,2389641,2683517
Ben McLemore ,2389641,2683517
